spec_code,box,square,locus,basket,layer,taxon,element,zone,,sub.element,side,DR<50%,DR>50%,feature,scan_site,epifusion,TWS,length(mm),colour,Mn_stain,ToolMarks,Binford_code,burn,animal_mod,pit_mm,wthr,frctr,abrasion,trampling,rootetch,MWII,MWS_location,crown_height,notes,length,breadth,depth,other
NR-0001,1,,112,1167,4,bovid_2,maxilla,DP2,,max-dp2,,,,,,,A,27,reddish,,,,,,,,,,,,,,,,,,,
NR-0002,1,,110,1097,3,bovid_2,rib,"RI2,RI3",,,,,1,,,,,45,reddish,,,,,,,,,,,,,,,,,,,
NR-0003,1,,110,1097,3,reptilia,,,,,,,,,,,,7,light,,,,,,,,,,,,,,,"vertebra, check taxon",,,,
NR-0004,1,,110,1170,3,bovid_2,cranium,CR1,,,,,,,,,,31,reddish,,,,,,,,,,,,,,,,,,,
NR-0005a,,C3c,109,1161,5,panthera,phalanx_2,"PH21,PH22,PH23",,,,,"1,2,3",,,pF,,29,,,,,,,,,,,,,,,,"28680, error 70 bp",29,14,,
NR-0006a,,,109,1091,5,panthera,phalanx_1,"PH12,PH13",,,,"2,3",,,,,,32,,,,,,,,,,,,,,,,"26070, error 70 bp",,,,
NR-0005,1,,110,1097,3,bovid_2,radius,RA3,,,,5,,,,,,46,reddish,,,,,,,1,mixed-0,,,,,,,,,,,
NR-0006,1,,113,1191,4,bovid_2,vert_t,TH1,,,,,1,,,,,21,reddish_black,,,,yes,,,,,,,,,,,,,,,
NR-0007,1,,110,1097,3,capra,tibia,TI4,,,,,5,,,dUM,,32,light,,,,,,,1,green-0,,,,,,,,,,,
NR-0008,1,,112,1167,4,bovid_2,mandible,DN4,,,,1,,,,,,56,reddish,,,,,,,,green-0,,,,,,,,,,,
NR-0009,1,,112,1167,4,capra,cranium,CR1,,,,,,,,,,35,reddish,,,,,,,,,,,,,,,,,,,
NR-0010,1,,110,1097,3,bovid_2,femur,FE3,,,,"6,7",,,,,,79,light,,,,,,,1,,,,,,,,,,,,
NR-0011,1,,112,1167,4,capra,mandible,"DN5,m3",,mand-M3,,,,,,,I,32,light,,,,,,,,,,,,2,mnd_M3_ms,,,19.2,7.8,,
NR-0012,1,,110,1180,3,bovid_2,humerus,"HU3,HU4",,,,"7,8",,,,,,86,reddish,1,,,,,,,,,,,,,,crusted,,,,
NR-0013,1,,112,1167,4,capra,astragalus,AS2,,,,,2,,,,,21,reddish_black,,,,,,,,,,,,,,,,,,,
NR-0014,1,,103,1057,2,capra,mandible,"DN3,p2",,mand-P2,,,,,,,,22,light,,,,,,,,,,,,,,,"photographed, fine abrasion",,,,
NR-0015,1,,103,1052,2,bovid_2,femur,FE4,,,,6,,,,,,42,reddish,,,,,,,,green-0,,,,,,,,,,,
NR-0016,1,,103,1052,2,capra,cranium,CR3,,hornc,,,,,,,,45,reddish,,,,,,,,,,,,,,,,,,,
NR-0017,1,,103,1052,2,capra,cranium,CR3,,hornc,,,,,,,,63,reddish_black,,,,,,,,,,,,,,,taxonomic ID based on flat section. Small and gracile.,,,,
